No., アプリケーション名, タイトル, URL, view, template, 内容,備考
1,ブックマーク,一覧表示,<int:user_id>/list/,index,/bookmark/index.html,問題一覧の表示(自分作成・ブックマーク),
2,ブックマーク,ブックマーク処理,<int:user_id>/<int:question_id>/run/,run_bookmark,,ブックマーク処理,問題一覧ページからPOSTで取得
3,ブックマーク,ブックマーク解除,<int:user_id>/<int:question_id>/release/,release,,ブックマーク解除処理,ブックマーク一覧からPOSTで取得
4,フレンド,フォロー一覧,<int:user_id>/,follow,/follow/follow.html,フォローしているユーザーを表示、フォロー解除,
5,フレンド,フォロー処理,<int:user_id>/<int:follow_user_id>/run/,run_follow,,フォロー処理,複数のページからPOSTで取得
6,フレンド,フォロー解除処理,<int:user_id>/<int:follow_id>/release/,release,,フォロー解除処理,フォロー一覧ページからPOSTで取得
7,フレンド,フォロワー一覧,<int:user_id>/follower/,follower,/follow/follower.html,フォローされているユーザーを表示,
8,フレンド,フォロー許可ページ,<int:user_id>/follow/permit/,permit,/follow/permit.html,フォロー申請の認証(プライベートアカウント),
9,フレンド,フォロー許可処理,<int:user_id>/follow/run/permit/<int:follow_id>/,run_permit,,フォロー申請の許可(プライベートアカウント),フォロー許可ページからPOSTで取得
10,フレンド,フォロー不許可処理,<int:user_id>/follow/run/nopermit/<int:follow_id>/,run_nopermit,,フォロー申請の不許可(プライベートアカウント),フォロー許可ページからPOSTで取得
11,プレイグランド,プレイグランド,/,index,/playground/index.html,コード入力、実行フォーム送信、保存フォーム送信,
12,プレイグランド,実行処理,run/,run,,コードの実行、結果の返却,プレイグランドページからPOSTで取得
13,プレイグランド,コード編集,<int:code_id>/,edit,/playground/edit.html,コード入力、実行フォーム送信、保存フォーム送信,Index.htmlと同じ
14,プレイグランド,編集実行処理,<int:code_id>/run/,run_edit,,コードの実行、結果の返却,コード編集ページからPOSTで取得
15,プレイグランド,問題,question/<int:question_id>/,question,/playground/question.html,コード入力、問題フォーム送信、保存フォーム送信,
16,プレイグランド,問題処理,question/<int:question_id>/run/,run_question,,コードの実行、問題との答え合わせ、正解者登録,問題ページからPOSTで取得
17,プレイグランド,保存処理,<int:code_id>/save/,save,,コードの保存,複数ページからPOSTで取得
18,問題,一覧,list/,questions,/question/index.html,問題一覧の表示(全て)、ブックマークフォーム送信,
19,問題,管理,<int:user_id>/manage/,manage,/question/manage.html,問題一覧の表示(自作),
20,問題,詳細,<int:question_id>/detail/,detail,/question/detail.html,問題詳細の表示(問題の情報、解いた人一覧),
21,問題,新規作成,create/,create,/question/create.html,問題の新規作成、フォーム送信,
22,問題,新規作成処理,run/create/,run_create,,問題の新規作成処理,問題編集・新規作成ページからPOSTで取得
23,問題,編集,<int:question_id>/edit/,edit,/question/edit.html,問題の編集、フォーム送信,
24,問題,編集処理,<int:question_id>/run/edit/,run_edit,,問題の編集処理,問題編集・新規作成ページからPOSTで取得
25,トップ,トップ,/,top,/top/index.html,サイトの説明、お知らせ,
26,ユーザー,登録,register/,register,/user/register.html,登録内容の入力、フォーム送信,登録メールの送信メッセージを表示
27,ユーザー,登録完了,register/complete/,register_complete,/user/register_complete.html,登録処理が終了したら遷移するページ,
28,ユーザー,登録処理,run/register/,run_register,,登録処理,登録ページからPOSTで取得
29,ユーザー,ログイン,login/,login,/user/login.html,ログイン情報の入力、フォーム送信,
30,ユーザー,ログイン処理,<int:user_id>/run/login/,run_login,,ログイン処理,ログインページからPOSTで取得
31,ユーザー,ログアウト処理,<int:user_id>/run/logout/,run_logout,,ログアウト処理,各ページのヘッダーからPOSTで取得
32,ユーザー,退会ページ,<int:user_id>/withdrawal/,withdrawal,/user/withdrawal.html,退会についての説明、大会の確認,
33,ユーザー,退会処理,<int:user_id>/run/withdrawal/,run_withdrawal,,退会処理,退会ページからPOSTで取得
34,ユーザー,プロフィール詳細,<int:user_id>/detail/,detail,/user/detail.html,ユーザー情報の表示、フォローリスト・フォロワーリストの一部表示,
35,ユーザー,プロフィール新規作成,create/,create,/user/create.html,プロフィールの新規作成,create.htmlとedit.htmlは一緒
36,ユーザー,プロフィール新規作成処理,run/create/,run_create,,プロフィールの新規作成処理,プロフィールの新規作成ページからPOSTで取得
37,ユーザー,プロフィール編集,<int:user_id>/edit/,edit,/user/edit.html,ユーザー情報の編集、フォーム送信,create.htmlとedit.htmlは一緒
38,ユーザー,プロフィール編集処理,<int:user_id>/run/edit/,run_edit,,ユーザー情報編集処理,プロフィール編集ページからPOSTで取得
39,ユーザー,ユーザー一覧,/,index,/user/index.html,ユーザーの表示,